#cdEstado,nomeUF,cdMunicipio,codMunicIbge,Municipio,MesEmissao,AnoEmissao,cdPrograma,cdSubPrograma,cdFonteRecurso,Atividade,QtdCusteio,VlCusteio,QtdInvestimento,VlInvestimento,QtdComercializacao,VlComercializacao,QtdIndustrializacao,VlIndustrializacao,AreaInvestimento,AreaCusteio,cnpjIF,nomeIF
6,CE,25360,2308302.0,MILAGRES,2,2020,1,1,300,1,2,9860.38,0,0.0,0,0.0,0,0.0,0.0,7.63,0,BCO DO BRASIL S.A.
6,CE,44633,2311959.0,SALITRE,6,2020,999,0,502,2,0,0.0,6,144554.4,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,1652,2301901.0,BARBALHA,7,2020,999,0,502,1,0,0.0,3,20000.0,0,0.0,0,0.0,1.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,31172,2301307.0,ARARIPE,12,2020,1,5,502,1,0,0.0,4,35000.0,0,0.0,0,0.0,2.07,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,34227,2314102.0,VIï¿½OSA DO CEARï¿½,3,2020,1,56,502,2,18,74211.0,55,209850.0,0,0.0,0,0.0,0.0,10.5,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43407,2304277.0,ERERï¿½,1,2020,1,2,300,2,0,0.0,2,24367.8,0,0.0,0,0.0,0.0,0.0,0,BCO DO BRASIL S.A.
6,CE,19929,2309904.0,PACUJï¿½,8,2020,1,56,502,1,2,7000.0,0,0.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,16850,2300705.0,ALTO SANTO,2,2020,1,56,502,2,2,10000.0,11,43180.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,8727,2312908.0,SOBRAL,10,2020,1,2,502,2,0,0.0,11,77486.46,0,0.0,0,0.0,21.78,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,30214,2305605.0,INDEPENDï¿½NCIA,8,2020,50,0,201,2,2,142000.0,0,0.0,0,0.0,0,0.0,0.0,20.0,60746948,BANCO BRADESCO S.A.
